;Ticker;Model;Maturity;Sigma
107;LHA GY Equity;Rostek;10;0.6192628138566844
108;PIA IM Equity;Merton;1;0.2448660329093093
109;PIA IM Equity;Merton;5;0.2649191390006274
110;PIA IM Equity;Merton;10;0.2968943453412143
111;PIA IM Equity;Necula;1;0.2657736430368879
112;PIA IM Equity;Necula;5;0.29769442006798436
113;PIA IM Equity;Necula;10;0.34698820359603844
114;PIA IM Equity;Rostek;1;0.2657271304169053
115;PIA IM Equity;Rostek;5;0.29714991100576654
116;PIA IM Equity;Rostek;10;0.34634002737260033
117;CO FP Equity;Merton;1;0.07097575961936167
118;CO FP Equity;Merton;5;0.08121226250218966
119;CO FP Equity;Merton;10;0.1007313218081405
120;CO FP Equity;Necula;1;0.08171438834871243
121;CO FP Equity;Necula;5;0.09656714770437493
122;CO FP Equity;Necula;10;0.1263877260409749
123;CO FP Equity;Rostek;1;0.08166917890704718
124;CO FP Equity;Rostek;5;0.09625675081896216
125;CO FP Equity;Rostek;10;0.12595886756185082
