Ticker;Model;Maturity;DP(%);Sigma;Mu;H
SAP GY Equity;Merton;1;0.0;0.16219127090944052;0.11237364386940851;0.5
SAP GY Equity;Merton;5;1.7619239400801234e-11;0.16220007516450027;0.11237968373038137;0.5
SAP GY Equity;Merton;10;1.1233229901819186e-07;0.16229015632655236;0.11243993655548684;0.5
SAP GY Equity;Necula;1;0.0;0.13889066939326344;0.10825068792171831;0.4634816457093532
SAP GY Equity;Necula;5;0.0;0.1388906694323415;0.10825068793414921;0.4634816456180986
SAP GY Equity;Necula;10;1.1102230246251565e-14;0.13889090701976572;0.10825079242493751;0.4634814271820863
SAP GY Equity;Rostek;1;0.0;0.1388906693932635;0.10825068792171831;0.4634816457093531
SAP GY Equity;Rostek;5;0.0;0.13889066944204778;0.1082506879343849;0.4634816456111743
SAP GY Equity;Rostek;10;7.771561172376096e-14;0.1388909246744326;0.10825079114536443;0.4634814305090393
MRK GY Equity;Merton;1;0.0;0.15654587644859735;0.061560009026392776;0.5
MRK GY Equity;Merton;5;0.0008481048303421446;0.15682270412925217;0.0618734013153297;0.5
MRK GY Equity;Merton;10;0.03285970589512743;0.1578307679015143;0.06277855986944714;0.5
MRK GY Equity;Necula;1;7.351896869067787e-11;0.17411544618365066;0.06242564923627241;0.533554630031069
MRK GY Equity;Necula;5;0.019823810785168927;0.1741809836581646;0.0624858070916618;0.5334210944103105
MRK GY Equity;Necula;10;0.2322044562094061;0.17542761833824225;0.0632775767599934;0.5325997853405584
MRK GY Equity;Rostek;1;3.774758283725532e-13;0.17411544618460922;0.06242564923674752;0.533554630037766
MRK GY Equity;Rostek;5;0.009419858422965444;0.17417277235541923;0.06248558510982892;0.5334258515888654
MRK GY Equity;Rostek;10;0.16204993809626478;0.17537108761244874;0.06328415830041241;0.5326118389135193
AI FP Equity;Merton;1;0.0;0.14252460710953857;0.07466525287910097;0.5
AI FP Equity;Merton;5;2.812179122901881e-06;0.14261957528020802;0.07476685181595209;0.5
AI FP Equity;Merton;10;0.0004658850539018822;0.14316200846975355;0.07519860660550019;0.5
AI FP Equity;Necula;1;0.0;0.10643398947661156;0.06387856444080847;0.4325232523170885
AI FP Equity;Necula;5;0.0;0.10643398956382268;0.06387856464803063;0.4325232515235325
AI FP Equity;Necula;10;1.8207657603852567e-12;0.10643425571091086;0.06387886791554884;0.4325225797949579
AI FP Equity;Rostek;1;0.0;0.1064339894766117;0.06387856444080849;0.4325232523170889
AI FP Equity;Rostek;5;1.1102230246251565e-14;0.10643398958559369;0.06387856460546573;0.4325232513981509
AI FP Equity;Rostek;10;6.135092434078615e-11;0.1064342810333416;0.06387883322271636;0.43252255805008016
CRH LN Equity;Merton;1;5.995204332975845e-13;0.15029266348163023;0.08936684307862733;0.5
CRH LN Equity;Merton;5;0.0012542009179994373;0.15212766786919768;0.09129125209028387;0.5
CRH LN Equity;Merton;10;0.013413879217372138;0.1558923584428247;0.09480326976033866;0.5
CRH LN Equity;Necula;1;0.0;0.10999745459684239;0.08234705015409957;0.4318540105223048
CRH LN Equity;Necula;5;5.073719222536965e-12;0.11001211999116013;0.08235433506499978;0.4318720128619512
CRH LN Equity;Necula;10;7.152167746937721e-10;0.11025618525908626;0.08249954233667145;0.4321196047942323
CRH LN Equity;Rostek;1;0.0;0.1099974545978733;0.08234705015415883;0.4318540105231629
CRH LN Equity;Rostek;5;6.615596959136383e-10;0.11001296435789969;0.08235391022412634;0.43187298828661314
CRH LN Equity;Rostek;10;1.2269674165565903e-08;0.11025721174345346;0.08249215560807842;0.4321176698742693
SRG IM Equity;Merton;1;6.860820123133493e-06;0.11450254112353732;0.0021199475836722794;0.5
SRG IM Equity;Merton;5;1.5059280312638812;0.11573187544912066;0.0028825983311602547;0.5
SRG IM Equity;Merton;10;8.96995114811563;0.11912059844291994;0.003949430011557218;0.5
SRG IM Equity;Necula;1;0.0;0.0851866916845085;0.0019015562667292238;0.42711429325098843
SRG IM Equity;Necula;5;0.0017356788181821514;0.08518778196439235;0.001901844715643106;0.427112505236123
SRG IM Equity;Necula;10;0.14645223822684628;0.08525373652002133;0.0019107725125947358;0.42707178279519353
SRG IM Equity;Rostek;1;4.118927421359331e-12;0.08518669168450868;0.0019015562667290898;0.42711429325098466
SRG IM Equity;Rostek;5;0.009308359529935917;0.0851883942971659;0.0019015956541441423;0.4271122555075081
SRG IM Equity;Rostek;10;0.2817306184293322;0.08526293723310177;0.0019045265560267066;0.4270756090634786
DAI GY Equity;Merton;1;0.0024722550311051528;0.07452912318639734;-0.001615627240833558;0.5
DAI GY Equity;Merton;5;5.496822216915187;0.07695277395128065;-0.000559257732551912;0.5
DAI GY Equity;Merton;10;18.500061295160574;0.0819363179021252;0.00037442160601149207;0.5
DAI GY Equity;Necula;1;0.0011261939792395204;0.07311453790631892;-0.0023334675143391994;0.49298174729762756
DAI GY Equity;Necula;5;3.968572564306949;0.07370327752737411;-0.0023992605006508453;0.4922178475625646
DAI GY Equity;Necula;10;14.799223488805557;0.07674832630741375;-0.0025172738223243007;0.4907498934289553
DAI GY Equity;Rostek;1;0.0016094858357074138;0.07311453988981875;-0.002333473503145067;0.4929817155060142
DAI GY Equity;Rostek;5;4.153087798282584;0.07371180080724736;-0.0024067678866476214;0.4922086076691912
DAI GY Equity;Rostek;10;15.103420836328596;0.07677096149392262;-0.0025410103221084794;0.4907365545060079
VIE FP Equity;Merton;1;2.1743506994909012e-07;0.08161655779219522;0.0322420077460995;0.5
VIE FP Equity;Merton;5;0.07558174757859026;0.0831446030596824;0.034239428433189015;0.5
VIE FP Equity;Merton;10;0.32139631857113216;0.0865781841708626;0.03720989652438315;0.5
VIE FP Equity;Necula;1;3.6193270602780103e-12;0.06855308306404319;0.029605159137378302;0.4743663825354427
VIE FP Equity;Necula;5;0.0016902042642596982;0.06868489870140385;0.029760816914848488;0.47443198339141934
VIE FP Equity;Necula;10;0.014687060516360706;0.06971108122463755;0.030599747304832163;0.47499546849555613
VIE FP Equity;Rostek;1;1.467936883159382e-10;0.06855308315437597;0.02960515900036195;0.4743663821902283
VIE FP Equity;Rostek;5;0.0031921400847845227;0.06868827452003902;0.029758894004988462;0.47443280980714786
VIE FP Equity;Rostek;10;0.020754639991571455;0.06972720118230571;0.030586959432953927;0.4750016778955699
AMP IM Equity;Merton;1;0.0;0.1458066523434248;0.2046732123148673;0.5
AMP IM Equity;Merton;5;2.2293278334473143e-11;0.14777568981558406;0.20869448293156395;0.5
AMP IM Equity;Merton;10;8.568701304056958e-11;0.15142277136451232;0.2149697256755506;0.5
AMP IM Equity;Necula;1;0.0;0.08177828176853078;0.19606595935668483;0.361908664471088
AMP IM Equity;Necula;5;0.0;0.08177808022876905;0.19606781216403774;0.36190674011767293
AMP IM Equity;Necula;10;0.0;0.08177466790163354;0.19610130928814365;0.36186653659812634
AMP IM Equity;Rostek;1;0.0;0.08177828176853229;0.1960659593559987;0.36190866447114695
AMP IM Equity;Rostek;5;0.0;0.08177813623914768;0.19606717047196245;0.36190712889092275
AMP IM Equity;Rostek;10;0.0;0.08177572781416878;0.19609258377282862;0.36187447979917153
FR FP Equity;Merton;1;4.726254565490251e-06;0.19827704414481598;0.06444638815661886;0.5
FR FP Equity;Merton;5;0.46605441885880783;0.2009757684324088;0.06766318172851804;0.5
FR FP Equity;Merton;10;2.184656244599359;0.2065385056010272;0.07203069579245033;0.5
FR FP Equity;Necula;1;9.733661884281375e-05;0.21336812117331824;0.07514978214663522;0.5340732459893446
FR FP Equity;Necula;5;0.7244883195082652;0.21563649337325747;0.07683910163186336;0.53403917051236
FR FP Equity;Necula;10;2.524557472840927;0.22499657355668984;0.0824681502196682;0.5343991750660038
FR FP Equity;Rostek;1;7.845457883348672e-06;0.2133680776359315;0.07514976465571596;0.5340732949770264
FR FP Equity;Rostek;5;0.4753075812038321;0.21551785616828414;0.07684652422501238;0.5340384652199788
FR FP Equity;Rostek;10;1.9922869800376164;0.22471511177158926;0.08251433871821316;0.5344046605102709
EO FP Equity;Merton;1;2.854304015365017e-07;0.16842680279816213;0.11267818948745215;0.5
EO FP Equity;Merton;5;0.033708771425189354;0.17744443114419794;0.12213421896529078;0.5
EO FP Equity;Merton;10;0.09982291615786565;0.19129708503210668;0.1350786632197323;0.5
EO FP Equity;Necula;1;8.53311588056016e-06;0.17582657566077955;0.11638693238420453;0.5403808807094381
EO FP Equity;Necula;5;0.09363984975577777;0.18455119969724518;0.12454456045992034;0.5389507607613397
EO FP Equity;Necula;10;0.22814273068740842;0.2035726609641461;0.14131701141834307;0.5368726546587714
EO FP Equity;Rostek;1;2.3029735896074044e-07;0.17582203165467405;0.11638509154801446;0.5403911936924821
EO FP Equity;Rostek;5;0.04562147133613248;0.1842774071572673;0.12447562989130492;0.5391193696927846
EO FP Equity;Rostek;10;0.1459945946790442;0.203083641354141;0.14123297380915306;0.5370010782833209
