;Ticker;Model;Maturity;DP(%)
0;SAP GY Equity;Merton;1;0.0
1;SAP GY Equity;Merton;5;1.588729148238599e-11
2;SAP GY Equity;Merton;10;9.075356022236747e-08
3;SAP GY Equity;Necula;1;0.0
4;SAP GY Equity;Necula;5;0.0
5;SAP GY Equity;Necula;10;0.0
6;SAP GY Equity;Rostek;1;0.0
7;SAP GY Equity;Rostek;5;0.0
8;SAP GY Equity;Rostek;10;0.0
9;MRK GY Equity;Merton;1;0.0
10;MRK GY Equity;Merton;5;0.04726095644873585
11;MRK GY Equity;Merton;10;5.273577927413664
12;MRK GY Equity;Necula;1;0.0
13;MRK GY Equity;Necula;5;6.661338147750939e-14
14;MRK GY Equity;Necula;10;0.0002934297222756399
15;MRK GY Equity;Rostek;1;0.0
16;MRK GY Equity;Rostek;5;1.787459069646502e-12
17;MRK GY Equity;Rostek;10;0.0005401304381091876
18;AI FP Equity;Merton;1;0.0
19;AI FP Equity;Merton;5;2.8104407689966138e-09
20;AI FP Equity;Merton;10;3.2873524347110106e-06
21;AI FP Equity;Necula;1;0.0
22;AI FP Equity;Necula;5;0.0
23;AI FP Equity;Necula;10;0.0
24;AI FP Equity;Rostek;1;0.0
25;AI FP Equity;Rostek;5;0.0
26;AI FP Equity;Rostek;10;1.1102230246251565e-14
27;CRH LN Equity;Merton;1;8.08242361927114e-12
28;CRH LN Equity;Merton;5;1.0417557316367843
29;CRH LN Equity;Merton;10;22.524058543435956
30;CRH LN Equity;Necula;1;0.0
31;CRH LN Equity;Necula;5;0.17355615703287253
32;CRH LN Equity;Necula;10;11.593600472175215
33;CRH LN Equity;Rostek;1;0.0
34;CRH LN Equity;Rostek;5;0.19627388864835726
35;CRH LN Equity;Rostek;10;11.822225067509473
36;SRG IM Equity;Merton;1;8.59585691515008e-07
37;SRG IM Equity;Merton;5;16.548842593967596
38;SRG IM Equity;Merton;10;75.72227952578696
39;SRG IM Equity;Necula;1;0.0
40;SRG IM Equity;Necula;5;3.459477792309784
41;SRG IM Equity;Necula;10;80.09198705787028
42;SRG IM Equity;Rostek;1;2.220446049250313e-14
43;SRG IM Equity;Rostek;5;3.979021699253593
44;SRG IM Equity;Rostek;10;79.7464534549588
45;DAI GY Equity;Merton;1;0.0005100591506379537
46;DAI GY Equity;Merton;5;52.15988095413964
47;DAI GY Equity;Merton;10;96.90415072715153
48;DAI GY Equity;Necula;1;3.0297229525189096e-05
49;DAI GY Equity;Necula;5;48.73683848008555
50;DAI GY Equity;Necula;10;97.82578705789736
51;DAI GY Equity;Rostek;1;7.195603659582162e-05
52;DAI GY Equity;Rostek;5;48.83040737245307
53;DAI GY Equity;Rostek;10;97.76984803715935
54;VIE FP Equity;Merton;1;2.2323194404094693e-07
55;VIE FP Equity;Merton;5;11.883877672942745
56;VIE FP Equity;Merton;10;67.62347219012574
57;VIE FP Equity;Necula;1;0.0
58;VIE FP Equity;Necula;5;1.9054860191636824
59;VIE FP Equity;Necula;10;69.45992632667841
60;VIE FP Equity;Rostek;1;1.1102230246251565e-14
61;VIE FP Equity;Rostek;5;2.2919189629938663
62;VIE FP Equity;Rostek;10;69.19931700403701
63;AMP IM Equity;Merton;1;0.0
64;AMP IM Equity;Merton;5;9.353628982466944e-11
65;AMP IM Equity;Merton;10;6.050715484207103e-12
66;AMP IM Equity;Necula;1;0.0
67;AMP IM Equity;Necula;5;4.463096558993129e-12
68;AMP IM Equity;Necula;10;8.881784197001252e-14
69;AMP IM Equity;Rostek;1;0.0
70;AMP IM Equity;Rostek;5;5.67323965583455e-12
71;AMP IM Equity;Rostek;10;9.992007221626409e-14
72;FR FP Equity;Merton;1;0.03787690131313859
73;FR FP Equity;Merton;5;98.96923362969342
74;FR FP Equity;Merton;10;99.99997690239105
75;FR FP Equity;Necula;1;0.11125306388324319
76;FR FP Equity;Necula;5;96.7618037251539
77;FR FP Equity;Necula;10;99.99846433168419
78;FR FP Equity;Rostek;1;0.09069783035370316
79;FR FP Equity;Rostek;5;96.8269727272797
80;FR FP Equity;Rostek;10;99.99854762229717
81;EO FP Equity;Merton;1;0.0005031716261982844
82;EO FP Equity;Merton;5;23.881613050115714
83;EO FP Equity;Merton;10;74.37554216492708
84;EO FP Equity;Necula;1;1.0964751329112232e-08
85;EO FP Equity;Necula;5;8.38460268540202
86;EO FP Equity;Necula;10;66.51277413373364
87;EO FP Equity;Rostek;1;1.7576781141670494e-07
88;EO FP Equity;Rostek;5;9.062384314008032
89;EO FP Equity;Rostek;10;66.57607884270361
90;GET FP Equity;Merton;1;0.0
91;GET FP Equity;Merton;5;0.0010386112314741958
92;GET FP Equity;Merton;10;0.04219419945580283
93;GET FP Equity;Necula;1;0.0
94;GET FP Equity;Necula;5;6.820555231712433e-09
95;GET FP Equity;Necula;10;6.124025542231237e-06
96;GET FP Equity;Rostek;1;0.0
97;GET FP Equity;Rostek;5;2.1510515590961177e-08
98;GET FP Equity;Rostek;10;9.738455186703021e-06
99;LHA GY Equity;Merton;1;0.007934326185576879
100;LHA GY Equity;Merton;5;33.43036452385337
101;LHA GY Equity;Merton;10;80.7657840207447
102;LHA GY Equity;Necula;1;4.373401119028841e-06
103;LHA GY Equity;Necula;5;17.87786225251051
104;LHA GY Equity;Necula;10;77.56738554211644
105;LHA GY Equity;Rostek;1;2.694816109150011e-05
106;LHA GY Equity;Rostek;5;18.62198617025539
107;LHA GY Equity;Rostek;10;77.5673278856708
108;PIA IM Equity;Merton;1;0.0073295222107638835
109;PIA IM Equity;Merton;5;60.32265679546674
110;PIA IM Equity;Merton;10;97.45946595596064
111;PIA IM Equity;Necula;1;5.238711353605652e-07
112;PIA IM Equity;Necula;5;52.564565006578356
113;PIA IM Equity;Necula;10;99.42650223467288
114;PIA IM Equity;Rostek;1;5.936006153284268e-06
115;PIA IM Equity;Rostek;5;52.75834839340822
116;PIA IM Equity;Rostek;10;99.37020026067331
117;CO FP Equity;Merton;1;0.7638046784824271
118;CO FP Equity;Merton;5;82.30971777951676
119;CO FP Equity;Merton;10;99.27218849702588
120;CO FP Equity;Necula;1;10.755284820391942
121;CO FP Equity;Necula;5;86.01193401343643
122;CO FP Equity;Necula;10;98.08945194300289
123;CO FP Equity;Rostek;1;7.19360927895214
124;CO FP Equity;Rostek;5;82.77571412574652
125;CO FP Equity;Rostek;10;97.2948181425903
