;Ticker;Model;Maturity;DP(%)
108;PIA IM Equity;Merton;1;0.06331122182862137
109;PIA IM Equity;Merton;5;28.7062771808546
110;PIA IM Equity;Merton;10;66.60529759163819
111;PIA IM Equity;Necula;1;0.1281199229090646
112;PIA IM Equity;Necula;5;25.66684416789552
113;PIA IM Equity;Necula;10;56.44569394197645
114;PIA IM Equity;Rostek;1;0.10178372252196421
115;PIA IM Equity;Rostek;5;25.021878608499794
116;PIA IM Equity;Rostek;10;55.672309916023345
117;CO FP Equity;Merton;1;65.50423058679948
118;CO FP Equity;Merton;5;99.99985164534583
119;CO FP Equity;Merton;10;99.99999999999034
120;CO FP Equity;Necula;1;62.69520623424193
121;CO FP Equity;Necula;5;99.9982223560821
122;CO FP Equity;Necula;10;99.99999999743896
123;CO FP Equity;Rostek;1;62.77532799681882
124;CO FP Equity;Rostek;5;99.99835555458102
125;CO FP Equity;Rostek;10;99.99999999744414
