;Ticker;Model;Maturity;Mu
104;LHA GY Equity;Necula;10;-0.0873240415429456
105;LHA GY Equity;Rostek;1;-0.08656822262157111
106;LHA GY Equity;Rostek;5;-0.0866533924460959
107;LHA GY Equity;Rostek;10;-0.08750637531125127
108;PIA IM Equity;Merton;1;-0.1472098144935209
109;PIA IM Equity;Merton;5;-0.14760857164455848
110;PIA IM Equity;Merton;10;-0.1509947471061887
111;PIA IM Equity;Necula;1;-0.1523120512998465
112;PIA IM Equity;Necula;5;-0.15232483905802952
113;PIA IM Equity;Necula;10;-0.15268284934733986
114;PIA IM Equity;Rostek;1;-0.15231205129994238
115;PIA IM Equity;Rostek;5;-0.15233181600853313
116;PIA IM Equity;Rostek;10;-0.15276256235884134
117;CO FP Equity;Merton;1;-0.07140985802191899
118;CO FP Equity;Merton;5;-0.07339138664971528
119;CO FP Equity;Merton;10;-0.08139751988305724
120;CO FP Equity;Necula;1;-0.0678839985813301
121;CO FP Equity;Necula;5;-0.1067179779196668
122;CO FP Equity;Necula;10;-0.1500371249059981
123;CO FP Equity;Rostek;1;-0.06716701229951497
124;CO FP Equity;Rostek;5;-0.09309148421400658
125;CO FP Equity;Rostek;10;-0.12987885669962612
