;Ticker;Model;Maturity;Sigma
0;SAP GY Equity;Merton;1;0.16219127090944052
1;SAP GY Equity;Merton;5;0.16220007516450027
2;SAP GY Equity;Merton;10;0.16229015632655236
3;SAP GY Equity;Necula;1;0.13889066939326344
4;SAP GY Equity;Necula;5;0.1388906694323415
5;SAP GY Equity;Necula;10;0.13889090701976572
6;SAP GY Equity;Rostek;1;0.1388906693932635
7;SAP GY Equity;Rostek;5;0.13889066944204778
8;SAP GY Equity;Rostek;10;0.1388909246744326
9;MRK GY Equity;Merton;1;0.15654587644859735
10;MRK GY Equity;Merton;5;0.15682270412925217
11;MRK GY Equity;Merton;10;0.1578307679015143
12;MRK GY Equity;Necula;1;0.17411544618365066
13;MRK GY Equity;Necula;5;0.1741809836581646
14;MRK GY Equity;Necula;10;0.17542761833824225
15;MRK GY Equity;Rostek;1;0.17411544618460922
16;MRK GY Equity;Rostek;5;0.17417277235541923
17;MRK GY Equity;Rostek;10;0.17537108761244874
18;AI FP Equity;Merton;1;0.14252460710953857
19;AI FP Equity;Merton;5;0.14261957528020802
20;AI FP Equity;Merton;10;0.14316200846975355
21;AI FP Equity;Necula;1;0.10643398947661156
22;AI FP Equity;Necula;5;0.10643398956382268
23;AI FP Equity;Necula;10;0.10643425571091086
24;AI FP Equity;Rostek;1;0.1064339894766117
25;AI FP Equity;Rostek;5;0.10643398958559369
26;AI FP Equity;Rostek;10;0.1064342810333416
27;CRH LN Equity;Merton;1;0.15029266348163023
28;CRH LN Equity;Merton;5;0.15212766786919768
29;CRH LN Equity;Merton;10;0.1558923584428247
30;CRH LN Equity;Necula;1;0.10999745459684239
31;CRH LN Equity;Necula;5;0.11001211999116013
32;CRH LN Equity;Necula;10;0.11025618525908626
33;CRH LN Equity;Rostek;1;0.1099974545978733
34;CRH LN Equity;Rostek;5;0.11001296435789969
35;CRH LN Equity;Rostek;10;0.11025721174345346
36;SRG IM Equity;Merton;1;0.11450254112353732
37;SRG IM Equity;Merton;5;0.11573187544912066
38;SRG IM Equity;Merton;10;0.11912059844291994
39;SRG IM Equity;Necula;1;0.0851866916845085
40;SRG IM Equity;Necula;5;0.08518778196439235
41;SRG IM Equity;Necula;10;0.08525373652002133
42;SRG IM Equity;Rostek;1;0.08518669168450868
43;SRG IM Equity;Rostek;5;0.0851883942971659
44;SRG IM Equity;Rostek;10;0.08526293723310177
45;DAI GY Equity;Merton;1;0.07452912318639734
46;DAI GY Equity;Merton;5;0.07695277395128065
47;DAI GY Equity;Merton;10;0.0819363179021252
48;DAI GY Equity;Necula;1;0.07311453790631892
49;DAI GY Equity;Necula;5;0.07370327752737411
50;DAI GY Equity;Necula;10;0.07674832630741375
51;DAI GY Equity;Rostek;1;0.07311453988981875
52;DAI GY Equity;Rostek;5;0.07371180080724736
53;DAI GY Equity;Rostek;10;0.07677096149392262
54;VIE FP Equity;Merton;1;0.08161655779219522
55;VIE FP Equity;Merton;5;0.0831446030596824
56;VIE FP Equity;Merton;10;0.0865781841708626
57;VIE FP Equity;Necula;1;0.06855308306404319
58;VIE FP Equity;Necula;5;0.06868489870140385
59;VIE FP Equity;Necula;10;0.06971108122463755
60;VIE FP Equity;Rostek;1;0.06855308315437597
61;VIE FP Equity;Rostek;5;0.06868827452003902
62;VIE FP Equity;Rostek;10;0.06972720118230571
63;AMP IM Equity;Merton;1;0.1458066523434248
64;AMP IM Equity;Merton;5;0.14777568981558406
65;AMP IM Equity;Merton;10;0.15142277136451232
66;AMP IM Equity;Necula;1;0.08177828176853078
67;AMP IM Equity;Necula;5;0.08177808022876905
68;AMP IM Equity;Necula;10;0.08177466790163354
69;AMP IM Equity;Rostek;1;0.08177828176853229
70;AMP IM Equity;Rostek;5;0.08177813623914768
71;AMP IM Equity;Rostek;10;0.08177572781416878
72;FR FP Equity;Merton;1;0.19827704414481598
