;Ticker;Model;Maturity;Sigma
73;FR FP Equity;Merton;5;0.2009757684324088
74;FR FP Equity;Merton;10;0.2065385056010272
75;FR FP Equity;Necula;1;0.21336812117331824
76;FR FP Equity;Necula;5;0.21563649337325747
77;FR FP Equity;Necula;10;0.22499657355668984
78;FR FP Equity;Rostek;1;0.2133680776359315
79;FR FP Equity;Rostek;5;0.21551785616828414
80;FR FP Equity;Rostek;10;0.22471511177158926
81;EO FP Equity;Merton;1;0.16842680279816213
82;EO FP Equity;Merton;5;0.17744443114419794
83;EO FP Equity;Merton;10;0.19129708503210668
84;EO FP Equity;Necula;1;0.17582657566077955
85;EO FP Equity;Necula;5;0.18455119969724518
86;EO FP Equity;Necula;10;0.2035726609641461
87;EO FP Equity;Rostek;1;0.17582203165467405
88;EO FP Equity;Rostek;5;0.1842774071572673
89;EO FP Equity;Rostek;10;0.203083641354141
90;GET FP Equity;Merton;1;0.12746179877535765
91;GET FP Equity;Merton;5;0.12902371617962888
92;GET FP Equity;Merton;10;0.1329763643677812
93;GET FP Equity;Necula;1;0.1275680384538203
94;GET FP Equity;Necula;5;0.12826893638157733
95;GET FP Equity;Necula;10;0.132379602988255
96;GET FP Equity;Rostek;1;0.12756803752926052
97;GET FP Equity;Rostek;5;0.12824133816733924
98;GET FP Equity;Rostek;10;0.13229185578013583
99;LHA GY Equity;Merton;1;0.13321872041845803
100;LHA GY Equity;Merton;5;0.1407904567190982
101;LHA GY Equity;Merton;10;0.15298962640403468
102;LHA GY Equity;Necula;1;0.14574071055093815
103;LHA GY Equity;Necula;5;0.15214095082401652
104;LHA GY Equity;Necula;10;0.16718026429927754
105;LHA GY Equity;Rostek;1;0.14573471899961304
106;LHA GY Equity;Rostek;5;0.1519723090627913
107;LHA GY Equity;Rostek;10;0.16695654245603245
108;PIA IM Equity;Merton;1;0.17751570536328867
109;PIA IM Equity;Merton;5;0.1835513091171996
110;PIA IM Equity;Merton;10;0.19432389285753895
111;PIA IM Equity;Necula;1;0.1443177788627285
112;PIA IM Equity;Necula;5;0.1446012088061525
113;PIA IM Equity;Necula;10;0.1465076808767259
114;PIA IM Equity;Rostek;1;0.1443177900998589
115;PIA IM Equity;Rostek;5;0.14463114607248026
116;PIA IM Equity;Rostek;10;0.1465756351288943
117;CO FP Equity;Merton;1;0.08688771659709309
118;CO FP Equity;Merton;5;0.09354796454058062
119;CO FP Equity;Merton;10;0.10477362031894732
120;CO FP Equity;Necula;1;0.07020934077452529
121;CO FP Equity;Necula;5;0.07043567274981599
122;CO FP Equity;Necula;10;0.07170475281473311
123;CO FP Equity;Rostek;1;0.07020707222775796
124;CO FP Equity;Rostek;5;0.07046529527203298
125;CO FP Equity;Rostek;10;0.07175432751946814
