;Ticker;Model;Maturity;Sigma
107;LHA GY Equity;Rostek;10;0.11850964865691538
108;PIA IM Equity;Merton;1;0.15831913779298384
109;PIA IM Equity;Merton;5;0.1596685812593663
110;PIA IM Equity;Merton;10;0.16532235803584341
111;PIA IM Equity;Necula;1;0.11659154947766079
112;PIA IM Equity;Necula;5;0.11660634617553205
113;PIA IM Equity;Necula;10;0.11695391174807931
114;PIA IM Equity;Rostek;1;0.11659154947808337
115;PIA IM Equity;Rostek;5;0.11661135495057796
116;PIA IM Equity;Rostek;10;0.11698526333064062
117;CO FP Equity;Merton;1;0.06942419164634735
118;CO FP Equity;Merton;5;0.0750403969622686
119;CO FP Equity;Merton;10;0.08760704253676935
120;CO FP Equity;Necula;1;0.1196786556085775
121;CO FP Equity;Necula;5;0.200322393241767
122;CO FP Equity;Necula;10;0.32911920402115974
123;CO FP Equity;Rostek;1;0.11786725767519234
124;CO FP Equity;Rostek;5;0.1900386534188344
125;CO FP Equity;Rostek;10;0.31536531890497327
