Ticker;Model;Maturity;DP(%);Sigma;Mu;H
SAP GY Equity;Merton;1;0.0;0.28673280185977984;0.14426787137029914;0.5
SAP GY Equity;Merton;5;0.0010824143876653203;0.2867823057393177;0.1443061963719303;0.5
SAP GY Equity;Merton;10;0.04225720325594651;0.2875591958315294;0.1448946492560563;0.5
SAP GY Equity;Necula;1;0.0;0.2917789348815403;0.14531812967278393;0.5102783914496621
SAP GY Equity;Necula;5;0.0006119417745642508;0.29183468370430415;0.14533995727658472;0.510287248105299
SAP GY Equity;Necula;10;0.016531149377896348;0.2929432958844529;0.14585924666779132;0.5104176135888695
SAP GY Equity;Rostek;1;0.0;0.2917789348815337;0.1453181296727824;0.5102783914496607
SAP GY Equity;Rostek;5;0.0005365132304535614;0.2918328309771827;0.14533997219350986;0.5102870934734325
SAP GY Equity;Rostek;10;0.015502658366883804;0.29293036821918694;0.14586893614997354;0.510417687477182
MRK GY Equity;Merton;1;1.2920775560587572e-10;0.24822821671497652;0.1913329599283235;0.5
MRK GY Equity;Merton;5;0.0025687264008422694;0.2493917935489019;0.19233620060388815;0.5
MRK GY Equity;Merton;10;0.013978667107350518;0.25461231921006183;0.19692020891171286;0.5
MRK GY Equity;Necula;1;4.327316283081473e-09;0.2649728373804249;0.1949919631029856;0.5193731011816985
MRK GY Equity;Necula;5;0.0057047065164517186;0.26635825324770057;0.19584817916719957;0.5191277231998881
MRK GY Equity;Necula;10;0.021247478355768123;0.27339767687364175;0.20097224623583326;0.5186008152914305
MRK GY Equity;Rostek;1;1.2394862913822635e-09;0.26497283399933985;0.19499196221844783;0.5193731077073556
MRK GY Equity;Rostek;5;0.0046620912256822855;0.26630785116676103;0.19586756146322987;0.5191380324309033
MRK GY Equity;Rostek;10;0.018760596048839062;0.27328323109736746;0.20111265925416888;0.5186146265440327
AI FP Equity;Merton;1;1.8096635301390052e-12;0.23354959673287143;0.14473958597061787;0.5
AI FP Equity;Merton;5;0.00231018571730246;0.23384612541670782;0.14501647302903412;0.5
AI FP Equity;Merton;10;0.026227177897153453;0.23614234307455909;0.14699055252875937;0.5
AI FP Equity;Necula;1;7.105427357601002e-13;0.22873106475152008;0.14315965817021162;0.5142545955053643
AI FP Equity;Necula;5;0.0009540671267238565;0.22887519198928025;0.14324356396227586;0.5142260226253342
AI FP Equity;Necula;10;0.009039277282063551;0.2307663503374231;0.1444816363821797;0.5140545612787139
AI FP Equity;Rostek;1;1.9984014443252818e-13;0.22873106475112767;0.14315965817012366;0.5142545955064477
AI FP Equity;Rostek;5;0.0008035371002912406;0.22886960491106534;0.1432460951198521;0.5142276128177057
AI FP Equity;Rostek;10;0.008238227899426409;0.2307392967693885;0.14452067061195645;0.5140603105212366
CRH LN Equity;Merton;1;0.007186987919227672;0.30316446572935823;0.07285325980378955;0.5
CRH LN Equity;Merton;5;7.160201199109406;0.32447760145060206;0.08518471079648997;0.5
CRH LN Equity;Merton;10;22.288396581291202;0.3565672273300154;0.1007174769288405;0.5
CRH LN Equity;Necula;1;0.0009513160379448493;0.2892299815442644;0.06834762296117784;0.4788672289218868
CRH LN Equity;Necula;5;1.8570883341280098;0.29916231544176053;0.07221335428321835;0.47681529459195804
CRH LN Equity;Necula;10;5.677951425952676;0.3206196253305883;0.08094609704791517;0.47536610900060844
CRH LN Equity;Rostek;1;0.0016949747416283856;0.2892325744745091;0.06834796568243026;0.4788557036971087
CRH LN Equity;Rostek;5;2.036713508472021;0.29947532965133244;0.07196929998815894;0.4768110029547525
CRH LN Equity;Rostek;10;6.040305248791922;0.32101993015155755;0.0802302271780629;0.4753792929161862
SRG IM Equity;Merton;1;0.03972610224569628;0.19335868616397026;-0.008356016456711392;0.5
SRG IM Equity;Merton;5;16.632700261025402;0.20914290160817384;-0.0024625897991441756;0.5
SRG IM Equity;Merton;10;44.09231990637751;0.23672047210987648;0.003262802200832516;0.5
SRG IM Equity;Necula;1;3.442831741917729e-06;0.13469672171206712;-0.018108265919165124;0.4425282416823514
SRG IM Equity;Necula;5;1.628252100100358;0.1351421864227272;-0.018052258701426325;0.4419795554802825
SRG IM Equity;Necula;10;11.70096589419849;0.13795708888178093;-0.017887057492543587;0.4408163979782367
SRG IM Equity;Rostek;1;3.175427454316093e-05;0.13469665404886785;-0.01810827685286937;0.4425279689753074
SRG IM Equity;Rostek;5;1.93997767002404;0.1351898481666679;-0.018138769637092322;0.44192889289956266
SRG IM Equity;Rostek;10;12.47822103484153;0.1380494994250369;-0.018300797428334566;0.44075085960124133
DAI GY Equity;Merton;1;0.9563748621446932;0.10753757023103525;-0.016393514704510892;0.5
DAI GY Equity;Merton;5;43.06561126439392;0.16778935868190065;-0.003878062063458726;0.5
DAI GY Equity;Merton;10;75.67060216054197;0.26116144384456236;0.0103154262649786;0.5
DAI GY Equity;Necula;1;2.4824808485852445;0.12454999985206708;-0.01571184251703162;0.531755777051582
DAI GY Equity;Necula;5;52.744608505957814;0.21776574854204997;-0.014219183703047311;0.5243091992956328
DAI GY Equity;Necula;10;76.50135003749028;0.35314777753185417;0.003849463850149684;0.5218220593636566
DAI GY Equity;Rostek;1;1.9050898485442058;0.12383536796204815;-0.015618942539670683;0.5321042503439231
DAI GY Equity;Rostek;5;50.80760700764101;0.2156134088801467;-0.01149683873047723;0.5244019366251044
DAI GY Equity;Rostek;10;75.00388316372542;0.35090830136776546;0.007780996655506543;0.5218541742283701
VIE FP Equity;Merton;1;1.0879736749555224;0.16104872442905882;-0.07911568611554752;0.5
